Company,Website,Location,Description,LinkedIn_People_URL
Jane Street,https://www.janestreet.com/,NY - New York,Quantitative trading firm and market maker known for using OCaml; highly active in student sponsorships and competitions.,https://de.linkedin.com/company/jane-street-global/people
Citadel Securities,https://www.citadel.com/citadel-securities/,IL - Chicago / NY - New York,One of the world's largest market makers; heavily invests in hackathons and trading challenges.,https://www.linkedin.com/company/citadel-securities/people
Hudson River Trading (HRT),https://www.hudsonrivertrading.com/,NY - New York,Multi-asset class quantitative trading firm building a high-performance automated trading platform.,https://www.linkedin.com/company/hudson-river-trading/people
Susquehanna International Group (SIG),https://sig.com/,PA - Bala Cynwyd,Global quantitative trading firm founded with a game-theory focus; very active in university recruiting near Rutgers/Philly area.,https://www.linkedin.com/company/bytetrade-lab/people
Optiver,https://www.optiver.com/,IL - Chicago,Leading electronic market maker; known for sponsoring global trading simulations and math competitions.,https://www.linkedin.com/company/optiver/people
IMC Trading,https://www.imc.com/us/,IL - Chicago,Technology-driven trading firm and market maker; frequent sponsor of collegiate STEM events.,https://www.linkedin.com/company/imc-financial-markets/people
DRW,https://drw.com/,IL - Chicago,Diversified trading firm utilizing proprietary technology to trade in multiple asset classes.,https://www.linkedin.com/company/drw/people
Five Rings,https://fiverings.com/,NY - New York,Proprietary trading firm focused on opportunities in global markets; known for a high bar in math/CS talent.,https://br.linkedin.com/company/fiverings/people
Jump Trading,https://www.jumptrading.com/,IL - Chicago,Proprietary trading firm focusing on algorithmic and high-frequency strategies.,https://www.linkedin.com/company/jump-trading/people
Two Sigma,https://www.twosigma.com/,NY - New York,Systematic investment manager applying data science and technology to investment management.,https://www.linkedin.com/company/two-sigma-investments/people
D. E. Shaw & Co.,https://www.deshaw.com/,NY - New York,Global investment and technology development firm; a pioneer in computational finance.,https://www.linkedin.com/company/alternative-investments-association/people
Akuna Capital,https://akunacapital.com/,IL - Chicago,Derivatives trading firm specializing in options and futures; hosts their own 'Akuna Math Olympiad'.,https://www.linkedin.com/company/akuna-capital/people
Virtu Financial,https://www.virtu.com/,NY - New York,Leading provider of financial services and products that delivers liquidity to the global markets.,https://cl.linkedin.com/company/virtu-financial/people
Point72 (Cubist),https://www.point72.com/cubist/,CT - Stamford / NY - New York,"Cubist Systemic Strategies is the quant arm of Point72; employs systematic, computer-driven trading strategies.",https://www.linkedin.com/company/amherst-quant-club/people
Flow Traders,https://www.flowtraders.com/,NY - New York,Leading global ETP market maker; provides liquidity in exchange-traded products.,https://www.linkedin.com/company/flow-traders/people
Tower Research Capital,https://www.tower-research.com/,NY - New York,High-frequency trading and proprietary trading firm.,https://www.linkedin.com/company/tower-research-capital/people
Renaissance Technologies,https://www.rentec.com/,NY - East Setauket,Legendary quantitative hedge fund using mathematical and statistical methods.,https://www.linkedin.com/company/renaissane-technologies/people
Headlands Technologies,https://www.headlandstech.com/,IL - Chicago / CA - San Francisco,Global quantitative trading firm developing automated trading strategies.,https://www.linkedin.com/company/headlands_technologies_llc/people
Old Mission,https://www.oldmissioncapital.com/,IL - Chicago / NY - New York,Quantitative proprietary trading firm focused on the hardest-to-price assets.,https://www.linkedin.com/company/old-mission/people
WorldQuant,https://www.worldquant.com/,CT - Old Greenwich,Quantitative asset management firm; hosts the 'International Quant Championship'.,https://cy.linkedin.com/company/worldquant/people
GTS,https://gts1.com/,NY - New York,Electronic market maker and strategic trading firm; largest designated market maker at the NYSE.,https://www.linkedin.com/company/global-technical-systems1997/people
Belvedere Trading,https://www.belvederetrading.com/,IL - Chicago,Proprietary trading firm specializing in equity index and commodity derivatives.,https://www.linkedin.com/company/teambelvedere/people
Chicago Trading Company (CTC),https://www.chicagotrading.com/,IL - Chicago,Proprietary trading firm recognized for its pricing and risk management in derivatives.,https://www.linkedin.com/company/chicago-trading-company/people
Group One Trading,https://www.group1.com/,IL - Chicago / NY - New York,One of the largest privately held options trading firms in the US.,https://www.linkedin.com/company/group-one-trading-lp/people
Cutler Group,https://www.cutlergrouplp.com/,CA - San Francisco,Options market making firm; sponsors various west coast and national university events.,https://www.linkedin.com/company/cutler-group-llc/people
3Red Partners,https://www.3redgroup.com/,IL - Chicago,Proprietary trading firm leveraging technology and math to trade global markets.,https://www.linkedin.com/company/3red-trading/people
Quantlab,https://www.quantlab.com/,TX - Houston,Science-driven trading firm using high-performance computing.,https://www.linkedin.com/company/quantlab-financial/people
Simplex Trading,https://www.simplextrading.com/,IL - Chicago,Technology-driven proprietary trading firm focused on market making.,https://www.linkedin.com/company/simplex-trading/people
TransMarket Group,https://www.transmarketgroup.com/,IL - Chicago,Global proprietary trading firm providing liquidity in financial markets.,https://www.linkedin.com/company/transmarket-group/people
XR Trading,https://www.xrtrading.com/,IL - Chicago,Proprietary market-making firm trading across multiple asset classes.,https://www.linkedin.com/company/xr-trading/people
